[2022-10-04 12:15:22] http-nio-8081-exec-1 ERROR c.c.s.c.PortafolioController                            >> Oops something happened. 
[2022-10-04 12:35:28] main INFO  o.s.b.w.s.c.ServletWebServerApplicationContext          >> Root WebApplicationContext: initialization completed in 1364 ms 
[2022-10-04 12:35:28] main INFO  c.z.h.HikariDataSource                                  >> HikariPool-1 - Starting... 
[2022-10-04 12:35:28] main INFO  c.z.h.HikariDataSource                                  >> HikariPool-1 - Start completed. 
[2022-10-04 12:35:28] main INFO  o.s.b.a.h.H2ConsoleAutoConfiguration                    >> H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:coder-dev' 
[2022-10-04 12:35:28] main INFO  o.h.j.i.u.LogHelper                                     >> HHH000204: Processing PersistenceUnitInfo [name: default] 
[2022-10-04 12:35:28] main INFO  o.h.Version                                             >> HHH000412: Hibernate ORM core version 5.6.10.Final 
[2022-10-04 12:35:28] main INFO  o.h.a.c.Version                                         >> HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
[2022-10-04 12:35:28] main INFO  o.h.d.Dialect                                           >> HHH000400: Using dialect: org.hibernate.dialect.H2Dialect 
[2022-10-04 12:35:29] main INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                      >> HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
[2022-10-04 12:35:29] main INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean          >> Initialized JPA EntityManagerFactory for persistence unit 'default' 
[2022-10-04 12:35:30] main WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration    >> spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
[2022-10-04 12:35:30] main INFO  o.s.b.a.e.w.EndpointLinksResolver                       >> Exposing 1 endpoint(s) beneath base path '/actuator' 
[2022-10-04 12:35:30] main INFO  o.a.c.h.Http11NioProtocol                               >> Starting ProtocolHandler ["http-nio-8081"] 
[2022-10-04 12:35:30] main INFO  o.s.b.w.e.t.TomcatWebServer                             >> Tomcat started on port(s): 8081 (http) with context path '' 
[2022-10-04 12:35:30] main INFO  c.c.s.Application                                       >> Started Application in 4.732 seconds (JVM running for 5.6) 
[2022-10-04 12:35:33] http-nio-8081-exec-1 INFO  o.a.c.c.C.[.[.[/]                                       >> Initializing Spring DispatcherServlet 'dispatcherServlet' 
[2022-10-04 12:35:33] http-nio-8081-exec-1 INFO  o.s.w.s.DispatcherServlet                               >> Initializing Servlet 'dispatcherServlet' 
[2022-10-04 12:35:33] http-nio-8081-exec-1 INFO  o.s.w.s.DispatcherServlet                               >> Completed initialization in 2 ms 
[2022-10-04 12:35:33] http-nio-8081-exec-1 INFO  c.c.s.c.PortafolioController                            >> This is a simple message at INFO level. It will be hidden. 
[2022-10-04 12:35:33] http-nio-8081-exec-1 ERROR c.c.s.c.PortafolioController                            >> Oops something happened. 
[2022-10-04 14:50:53] HikariPool-1 housekeeper WARN  c.z.h.p.HikariPool                                      >> HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h46m24s552ms). 
[2022-10-04 14:53:59] HikariPool-1 housekeeper WARN  c.z.h.p.HikariPool                                      >> HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3m5s948ms). 
[2022-10-04 14:54:18] SpringApplicationShutdownHook INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean          >> Closing JPA EntityManagerFactory for persistence unit 'default' 
[2022-10-04 14:54:18] SpringApplicationShutdownHook INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl       >> HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down' 
[2022-10-04 14:54:18] SpringApplicationShutdownHook INFO  c.z.h.HikariDataSource                                  >> HikariPool-1 - Shutdown initiated... 
[2022-10-04 14:54:18] SpringApplicationShutdownHook INFO  c.z.h.HikariDataSource                                  >> HikariPool-1 - Shutdown completed. 
